estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
641,2025-07-17 21:08:14,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,4,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
351,2025-07-17 18:46:13,2625,2h,3,3,3,5,3,4,1,1,2,3,3,2,4,2,3,1,2,5,3,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
1388,2025-07-17 20:12:09,2775,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
945,2025-07-17 21:13:30,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,4,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
511,2025-07-18 00:07:08,1500,2h,3,3,3,5,3,1,1,1,2,5,3,2,4,5,5,1,2,5,2,2,3,2,1,1,1,4,4,1,3,1,2,4,5,2,2,1,3,1,2,4,2
872,2025-07-17 22:01:00,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
826,2025-07-17 15:41:17,2775,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
541,2025-07-17 23:57:47,2775,2h,3,3,3,5,3,4,1,1,2,5,1,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
566,2025-07-17 20:46:47,2625,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,4,4,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,5,2,4,4,3
255,2025-07-17 23:52:00,2775,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
165,2025-07-17 22:01:01,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
1044,2025-07-17 22:50:33,2550,2h,3,3,3,5,3,4,1,1,2,3,3,2,4,2,5,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
679,2025-07-17 22:41:47,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,4
1711,2025-07-17 21:39:09,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
1676,2025-07-17 21:29:54,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
