estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
148,2025-07-17 21:30:28,2250,2e,3,3,3,5,3,2,5,3,5,5,3,2,5,5,2,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,2,5,3
597,2025-07-17 18:31:46,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1688,2025-07-17 21:00:06,2925,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1450,2025-07-17 20:42:56,1800,2e,3,3,3,4,3,2,1,1,2,5,3,2,4,4,2,1,2,5,3,3,3,2,1,3,3,2,4,3,3,3,3,5,3,4,1,4,3,4,2,4,5
1297,2025-07-17 19:27:52,2700,2e,3,3,3,5,1,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
791,2025-07-17 23:28:33,2775,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,1,3,2,3,3,2,2,1,3,1,2,4,5,4
1254,2025-07-18 07:34:37,1875,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,1,2,4,3,1,3,3,2,4,4,2,1,5,1,3,3,5,1
1659,2025-07-17 14:43:50,2550,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,5,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,3,3,1,4,1,2,4,5,3
1282,2025-07-17 14:09:22,2850,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
817,2025-07-17 21:14:59,2475,2f,3,3,3,5,3,4,1,1,2,5,5,2,4,2,3,1,2,5,1,1,3,2,2,4,3,2,2,3,3,2,3,3,5,2,5,3,1,2,4,5,3
222,2025-07-17 22:40:39,2400,2f,3,3,3,5,3,4,1,4,2,5,3,2,4,2,3,1,2,5,2,2,3,2,2,4,3,2,2,3,3,2,3,3,4,2,1,4,3,2,4,5,4
380,2025-07-17 08:26:56,2850,2f,3,3,3,5,1,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
339,2025-07-17 18:23:38,2550,2f,3,3,3,5,3,4,1,3,1,5,3,2,4,2,2,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
1437,2025-07-17 18:33:52,2925,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1544,2025-07-17 11:37:06,2700,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
616,2025-07-17 18:42:54,750,2f,3,2,1,2,3,2,3,2,2,2,1,2,3,2,2,1,1,2,2,4,1,1,2,4,3,1,2,2,3,1,5,2,3,4,3,1,1,5,2,4,4
1444,2025-07-17 08:35:27,1725,2f,3,5,1,5,3,4,2,2,1,5,3,2,4,1,3,1,2,5,3,4,5,2,1,4,3,2,1,4,1,2,2,4,2,2,1,3,1,5,4,4,4
86,2025-07-17 08:38:13,2625,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,2,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,4
716,2025-07-17 19:29:30,2700,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,2,4,2,1,3,1,2,4,5,3
1296,2025-07-17 08:28:09,2625,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,1,3,2,2,4,3,2,2,3,3,2,3,3,4,3,1,3,1,2,4,5,3
1306,2025-07-17 22:19:00,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
183,2025-07-17 14:20:16,2475,2f,3,3,3,5,3,4,1,1,2,5,5,2,4,2,3,1,2,5,1,2,4,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
539,2025-07-17 21:40:16,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
261,2025-07-17 17:51:31,2325,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,2,1,2,4,5,1,4,1,5
1061,2025-07-17 17:44:23,1875,2f,3,3,3,5,3,2,3,2,2,5,5,2,5,2,3,1,2,5,2,2,4,2,2,4,3,2,1,3,3,2,2,1,4,2,1,3,1,1,4,4,3
554,2025-07-17 18:02:39,2475,2f,3,3,3,5,3,1,1,1,1,5,3,2,4,2,4,1,2,5,2,1,3,2,1,5,3,2,2,3,3,2,3,3,2,1,1,3,1,2,4,5,3
800,2025-07-17 08:54:38,2550,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,2,2,3,2,2,3,3,2,3,3,5,2,5,3,1,2,4,5,3
1563,2025-07-17 16:03:35,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,1,1,2,4,5,3
686,2025-07-17 19:36:03,2925,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1034,2025-07-17 18:48:40,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
877,2025-07-17 08:27:25,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,1,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1515,2025-07-17 14:13:46,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1195,2025-07-17 08:30:08,2625,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,1,3,2,2,4,3,2,2,3,3,2,3,3,4,3,1,3,1,2,4,5,3
1537,2025-07-17 11:37:05,2700,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
126,2025-07-17 16:36:17,2850,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
958,2025-07-17 16:52:27,2550,2f,3,3,3,4,4,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
729,2025-07-17 13:55:27,1350,2f,3,3,3,5,3,4,2,3,3,5,3,2,2,2,3,1,2,5,1,2,3,2,1,1,2,3,5,1,3,3,5,3,4,5,1,5,2,3,2,3,1
898,2025-07-17 18:53:58,2250,2f,3,3,3,4,4,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,1,2,2,2,3,3,2,3,3,2,2,1,2,1,2,2,5,4
70,2025-07-17 23:50:11,2850,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1484,2025-07-17 09:02:57,2850,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
1213,2025-07-18 02:38:53,2775,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
646,2025-07-17 22:34:28,2850,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,3,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1728,2025-07-17 21:13:16,2850,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1478,2025-07-17 09:27:51,2625,2f,3,3,3,1,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,1,1,2,4,5,3
416,2025-07-17 08:28:03,2625,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,1,3,2,2,4,3,2,2,3,3,2,3,3,4,3,1,3,1,2,4,5,3
349,2025-07-17 19:31:40,2700,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
849,2025-07-17 08:05:49,2700,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
268,2025-07-17 20:56:54,2550,2f,3,3,3,5,3,4,1,1,2,5,3,2,4,2,2,1,2,4,3,3,3,2,2,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,2,5,3
1506,2025-07-17 18:47:15,2025,2g,3,3,3,1,3,4,1,3,1,1,3,2,4,1,3,1,2,4,3,1,3,1,1,4,3,2,2,3,3,2,3,3,5,2,1,4,1,5,4,2,3
1243,2025-07-17 22:51:14,1275,2g,3,3,3,5,3,5,3,1,2,1,1,3,5,2,3,1,2,3,2,3,5,3,3,5,1,2,2,5,3,4,2,1,1,1,4,1,1,4,4,3,3
168,2025-07-17 10:48:21,1500,2g,3,3,3,5,3,2,1,1,4,5,3,2,5,1,3,4,2,5,2,2,1,1,1,3,1,1,2,3,3,2,3,3,3,1,5,2,3,4,3,1,1
46,2025-07-17 16:40:12,2475,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,2,3,2,1,4,3,2,2,1,3,4,3,3,5,2,1,3,1,2,4,3,3
814,2025-07-17 19:02:42,2775,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,2,4,3,2,2,3,3,2,3,3,2,2,1,3,1,4,4,5,3
359,2025-07-17 23:42:11,2700,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,1,3,2,3,3,4,2,1,3,1,2,4,5,3
940,2025-07-17 16:09:49,2625,2g,3,3,3,5,3,4,1,3,2,5,3,2,4,2,2,1,2,5,2,2,3,1,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
309,2025-07-17 23:31:23,2700,2g,3,3,3,5,4,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
846,2025-07-17 22:47:32,2700,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,4,1,2,5,2,3,3,2,2,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
35,2025-07-17 13:26:24,2700,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,4,1,2,5,1,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
754,2025-07-17 17:56:26,2925,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
939,2025-07-17 19:47:14,2850,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
1404,2025-07-17 19:02:54,2850,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,2,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
340,2025-07-17 22:40:37,2700,2g,3,3,3,1,3,4,1,1,2,5,3,2,4,2,4,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1660,2025-07-17 21:31:24,2175,2g,3,3,3,5,3,4,1,1,1,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,4,3,2,3,4,3,1,3,3,1,1,2,3,3
1521,2025-07-17 16:43:40,2775,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
124,2025-07-17 19:21:31,2850,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,1,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
461,2025-07-17 15:26:06,2400,2g,3,3,3,5,3,5,5,1,2,5,3,2,4,2,4,1,2,5,1,2,2,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
1672,2025-07-17 18:56:48,2625,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,4,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
548,2025-07-17 16:47:00,2850,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
336,2025-07-17 19:19:31,2850,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,1,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
90,2025-07-17 19:00:18,2925,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
609,2025-07-17 21:05:10,2325,2g,3,3,3,5,3,4,1,1,2,2,3,2,4,2,4,1,2,5,2,2,3,1,1,2,3,2,2,3,3,2,3,1,1,1,1,3,1,2,4,5,3
1101,2025-07-17 20:38:21,2550,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,1,3,2,1,4,4,2,2,3,3,3,3,3,2,2,1,3,1,2,4,5,4
1483,2025-07-17 21:05:00,2775,2g,3,3,3,1,5,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1583,2025-07-17 23:40:31,2325,2g,3,3,3,1,3,4,1,3,1,5,3,2,4,2,4,1,2,5,2,3,3,2,2,4,3,2,2,3,3,2,3,3,1,1,1,3,5,2,4,5,3
869,2025-07-17 13:00:48,2775,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,2,1,2,5,4,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
486,2025-07-17 21:59:58,2400,2g,3,3,3,5,3,4,5,3,2,5,3,2,4,2,1,1,2,5,1,1,3,2,2,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
508,2025-07-17 19:02:34,2775,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,2,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
160,2025-07-17 08:29:33,2400,2g,3,3,3,5,3,4,5,3,2,5,3,2,4,2,1,1,2,5,1,1,3,2,2,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
247,2025-07-17 16:43:38,2775,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1640,2025-07-17 22:46:43,1800,2g,3,3,3,5,3,4,5,1,4,3,3,2,4,2,3,1,2,5,2,2,3,1,1,3,3,2,1,2,5,2,3,2,2,2,5,1,4,1,4,5,1
81,2025-07-17 17:51:56,2250,2g,3,3,3,5,3,1,1,3,2,5,3,2,4,2,4,1,2,5,2,2,3,2,2,4,3,2,2,3,3,2,3,2,4,2,5,2,1,2,4,5,3
1648,2025-07-17 20:02:18,2700,2g,3,3,3,5,3,4,1,1,2,5,3,2,4,1,3,1,2,5,1,2,3,2,1,4,3,2,2,5,3,2,3,3,2,2,1,3,1,2,4,5,3
1129,2025-07-17 17:22:19,2550,2g,3,3,3,5,3,2,1,1,2,5,3,2,4,2,3,1,2,5,4,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
853,2025-07-17 08:50:19,2775,2g,3,3,2,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
1667,2025-07-17 16:32:51,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,4,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
366,2025-07-17 11:06:24,2775,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
354,2025-07-17 21:17:34,2850,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
540,2025-07-17 21:32:29,675,2h,3,2,4,5,3,3,3,2,5,1,3,3,1,4,5,5,3,5,2,1,4,1,4,3,1,1,1,2,2,2,3,4,4,4,3,4,5,5,5,2,3
1567,2025-07-17 21:49:21,1650,2h,3,3,3,5,3,4,1,3,2,5,3,2,4,2,4,3,2,5,5,1,3,2,2,2,4,3,2,2,3,2,3,3,2,1,3,3,4,4,1,3,4
1003,2025-07-17 08:05:04,2850,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
734,2025-07-17 14:49:18,2775,2h,3,3,3,5,3,4,2,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
208,2025-07-17 23:44:40,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
