estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
736,2025-07-17 09:03:04,2688,2b,2,3,4,3,4,1,3,2,2,3,5,5,3,3,5,4,5,1,5,1,4,1,1,2,5,3,2,5,4,3
1735,2025-07-17 22:32:09,2272,2b,2,3,4,3,4,1,3,2,2,3,2,5,1,3,5,4,3,1,3,1,4,2,3,2,4,3,2,5,4,3
456,2025-07-17 21:58:17,2272,2b,2,3,4,3,4,1,3,2,2,3,5,5,3,3,5,4,1,4,1,1,4,1,3,2,5,2,2,5,4,4
1055,2025-07-17 09:03:08,2688,2b,2,3,4,3,4,1,3,2,2,3,5,5,3,3,5,4,5,1,5,1,4,1,1,2,5,3,2,5,4,3
725,2025-07-17 22:49:22,2064,2c,2,3,4,3,4,1,3,2,2,3,1,5,1,2,5,4,3,5,5,1,4,1,3,2,5,3,2,3,1,5
1334,2025-07-17 21:40:14,2064,2c,2,3,4,1,4,4,1,2,2,3,1,3,2,4,1,4,5,4,5,1,2,1,3,2,5,3,2,5,4,3
9,2025-07-17 23:43:33,2168,2c,2,3,4,3,4,1,3,5,2,3,1,4,3,3,1,5,5,3,5,1,4,1,4,2,5,3,2,5,4,4
213,2025-07-17 23:36:38,416,2c,2,4,1,4,1,1,2,3,3,2,3,2,1,4,3,1,4,3,5,1,1,4,4,2,2,4,1,4,2,1
886,2025-07-17 19:15:33,2480,2c,2,3,4,3,4,1,3,2,2,3,5,5,2,3,1,4,5,2,5,1,4,1,3,2,5,3,5,5,4,5
72,2025-07-17 22:37:32,2376,2c,2,3,4,3,4,1,3,2,1,3,3,4,1,3,4,4,5,1,5,1,1,1,3,2,5,2,2,5,4,3
702,2025-07-17 16:10:45,2688,2c,2,3,4,3,4,1,3,2,2,3,2,5,2,3,5,4,5,1,1,1,4,1,3,2,5,3,2,5,4,3
1524,2025-07-17 20:55:45,1656,2c,2,2,4,3,4,3,3,2,2,3,5,4,3,2,2,3,2,2,5,3,2,5,3,3,5,3,2,5,4,2
1372,2025-07-17 08:36:10,2376,2c,2,3,4,3,4,1,3,2,2,3,2,5,1,3,5,4,5,4,1,1,4,1,3,2,3,3,2,5,4,3
1675,2025-07-17 14:37:46,2584,2c,2,3,4,3,4,1,3,2,2,3,2,5,5,3,5,4,5,1,1,1,4,1,3,2,5,3,2,5,4,3
1619,2025-07-18 00:42:07,2584,2c,2,3,4,3,4,1,3,2,2,3,5,5,2,3,5,4,3,1,4,1,4,3,3,2,5,3,2,5,4,3
493,2025-07-17 23:07:19,2376,2c,2,3,4,3,4,1,3,2,2,3,3,5,1,3,4,4,5,4,5,1,4,1,4,2,5,3,2,5,4,3
1682,2025-07-17 20:28:41,1440,2c,2,3,4,3,4,4,3,2,5,3,1,5,1,3,1,4,1,2,5,1,3,3,4,1,3,3,4,1,4,3
139,2025-07-17 21:38:47,2488,2c,2,2,4,3,2,1,3,2,2,3,5,5,3,3,5,4,5,1,1,1,4,1,3,2,5,3,2,5,4,3
1411,2025-07-17 14:07:10,2480,2c,2,3,4,3,4,1,3,2,1,3,2,5,2,3,5,3,5,1,5,1,4,1,3,2,4,3,2,5,4,3
1330,2025-07-17 15:58:29,2584,2c,2,3,4,3,4,1,3,2,2,3,5,5,3,1,3,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
688,2025-07-17 20:36:49,2168,2c,2,3,4,3,4,1,3,2,2,3,1,2,4,3,3,4,5,4,5,1,4,2,3,2,5,3,2,2,4,5
209,2025-07-17 19:57:56,2584,2c,2,3,4,3,4,1,3,2,1,3,5,4,3,3,5,4,3,4,5,1,4,1,3,2,5,3,2,5,4,3
141,2025-07-17 09:11:18,2584,2c,2,3,4,3,4,2,3,2,2,3,2,5,5,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
1090,2025-07-17 21:18:53,416,2c,2,4,3,1,2,3,2,2,5,4,3,3,2,1,4,3,4,4,3,1,2,3,5,4,1,5,1,2,2,3
220,2025-07-17 19:35:15,624,2c,2,1,1,1,2,2,3,1,2,3,2,2,4,2,4,1,2,2,3,2,2,1,3,2,4,1,5,1,3,2
822,2025-07-17 22:12:32,2272,2c,2,3,4,3,4,1,3,2,2,3,4,4,3,3,2,3,5,5,3,1,4,3,3,2,5,3,2,5,4,3
943,2025-07-17 18:41:36,2376,2c,2,3,4,3,4,2,3,2,2,3,2,5,3,3,2,4,5,4,5,1,4,1,3,2,5,3,2,5,4,3
1620,2025-07-17 18:49:14,1440,2c,2,3,4,3,4,2,3,2,5,3,1,2,4,2,1,5,5,4,1,4,2,1,3,2,2,3,2,1,4,5
1017,2025-07-17 20:00:14,2376,2b,2,3,4,3,4,1,3,2,2,3,5,5,1,3,1,4,5,1,5,1,4,3,4,2,5,3,2,5,4,5
1205,2025-07-18 07:29:32,2480,2c,2,3,4,3,4,2,3,2,2,3,5,4,4,3,5,5,3,1,2,1,4,1,3,2,5,3,2,5,4,3
