estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
714,2025-07-16 20:21:18,2400,2t,0,3,5,3,3,2,3,4,2,1,3,2,3,3,2,2
993,2025-07-16 22:09:23,2600,2s,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
287,2025-07-16 22:18:21,2600,2t,0,3,5,3,3,5,3,4,2,1,3,2,3,3,2,2
1582,2025-07-16 11:40:01,2800,2t,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1051,2025-07-16 08:16:06,2600,2t,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
1569,2025-07-16 20:21:24,2400,2t,0,3,5,3,3,2,3,4,2,1,3,2,3,3,2,2
533,2025-07-16 21:22:15,2800,2t,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
467,2025-07-16 20:14:44,2400,2t,0,3,5,3,3,5,3,4,1,1,3,2,3,3,2,2
1061,2025-07-16 21:50:10,2200,2t,0,3,5,2,1,5,3,1,2,3,3,2,3,3,3,2
1286,2025-07-16 21:51:21,2800,2t,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
801,2025-07-16 09:13:24,2400,2t,0,3,5,3,3,5,3,4,4,1,3,2,3,3,2,2
334,2025-07-16 11:22:23,2800,2t,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1122,2025-07-16 21:23:27,2800,2t,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
578,2025-07-16 21:37:22,600,2h,0,3,3,3,1,3,1,5,1,3,5,3,3,3,1,4
658,2025-07-16 21:21:56,2800,2t,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
368,2025-07-16 20:30:48,2400,2t,0,3,5,2,3,2,3,4,5,1,3,2,3,3,2,2
763,2025-07-16 21:22:13,2600,2t,0,5,5,2,3,5,3,4,2,1,3,2,3,3,2,2
