estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1600,2025-07-16 14:30:06,2600,2k,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
707,2025-07-16 11:20:36,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1604,2025-07-16 19:00:42,2400,2k,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
1191,2025-07-16 16:28:54,2000,2k,0,3,5,3,3,5,1,4,2,1,1,2,3,3,2,4
829,2025-07-16 08:16:12,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
446,2025-07-16 13:32:54,2400,2k,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
1328,2025-07-17 07:29:03,2600,2k,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
652,2025-07-17 15:12:41,2400,2k,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
682,2025-07-16 20:32:50,2600,2k,0,3,5,2,3,5,3,4,2,1,2,2,3,3,2,2
1507,2025-07-17 00:35:13,2600,2k,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
556,2025-07-24 17:03:20,2600,2k,0,3,5,2,3,5,3,4,2,1,2,2,3,3,2,2
1401,2025-07-16 21:24:04,2600,2k,0,3,5,2,3,5,3,4,2,1,2,2,3,3,2,2
1031,2025-07-16 11:21:25,2400,2k,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
1327,2025-07-16 18:36:46,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1674,2025-07-16 20:10:22,2400,2k,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
34,2025-07-16 20:21:12,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
232,2025-07-16 21:36:30,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1147,2025-07-16 20:42:18,2200,2k,0,3,3,2,3,3,3,4,3,1,3,2,3,3,2,2
1392,2025-07-16 19:17:59,2400,2k,0,3,5,2,3,3,3,4,1,1,3,2,3,3,2,2
823,2025-07-16 16:24:32,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1236,2025-07-16 12:04:51,2600,2k,0,3,5,2,3,5,3,1,2,1,3,2,3,3,2,2
705,2025-07-16 19:09:26,1800,2k,0,3,2,4,3,3,3,1,5,1,3,2,3,3,2,2
260,2025-07-16 19:42:28,2800,2k,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
834,2025-07-16 21:43:55,2200,2l,0,3,2,2,3,4,3,4,2,1,3,2,3,3,2,3
530,2025-07-16 14:00:32,2400,2l,0,3,5,2,3,2,3,4,2,1,3,2,2,3,2,2
317,2025-07-16 22:08:46,2600,2l,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
577,2025-07-16 08:00:40,2600,2l,0,3,5,2,3,5,3,4,2,1,3,2,4,3,2,2
1430,2025-07-16 23:05:55,2600,2l,0,3,5,2,3,5,4,4,2,1,3,2,3,3,2,2
274,2025-07-16 19:40:42,2800,2l,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1494,2025-07-16 20:11:02,2800,2l,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
92,2025-07-16 19:27:24,1400,2l,0,3,2,2,3,3,3,1,2,1,2,2,5,4,5,2
537,2025-07-16 23:12:10,2200,2l,0,3,1,3,3,5,3,4,1,1,3,2,3,3,2,2
900,2025-07-16 21:00:18,2600,2l,0,3,5,2,3,2,3,4,2,1,3,2,3,3,2,2
1249,2025-07-16 23:28:06,2200,2l,0,3,1,3,3,5,3,4,1,1,3,2,3,3,2,2
1429,2025-07-16 22:58:42,2400,2l,0,3,1,2,3,5,3,4,1,1,3,2,3,3,2,2
720,2025-07-16 21:08:04,2800,2l,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
505,2025-07-16 23:58:10,800,2l,0,4,4,3,2,3,3,3,3,2,4,4,4,3,3,2
612,2025-07-16 08:09:04,2600,2l,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
1121,2025-07-16 21:07:11,2600,2l,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,3
910,2025-07-16 21:02:23,2400,2l,0,3,3,2,3,4,3,4,2,1,3,2,3,3,2,2
1425,2025-07-16 17:37:46,2600,2l,0,3,5,2,3,4,3,4,2,1,3,2,3,3,2,2
1040,2025-07-16 21:58:56,2000,2l,0,3,5,2,3,1,3,4,3,3,3,2,4,3,2,2
84,2025-07-16 22:14:34,2000,2m,0,2,5,2,3,5,3,4,5,1,4,2,3,2,2,2
1022,2025-07-16 11:49:01,2400,2m,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
1123,2025-07-16 18:03:13,2400,2m,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,3
1403,2025-07-16 10:39:22,1800,2m,0,3,4,2,3,2,3,1,3,5,3,2,3,3,2,2
1638,2025-07-16 17:58:10,2800,2m,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
47,2025-07-16 19:07:12,2400,2m,0,3,5,2,3,5,3,1,2,5,3,2,3,3,2,2
3,2025-07-16 22:06:10,2600,2m,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,3
44,2025-07-16 22:48:46,2600,2m,0,3,5,2,3,4,3,4,2,1,3,2,3,3,2,2
698,2025-07-16 22:58:12,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
346,2025-07-16 23:21:26,600,2m,0,5,4,5,1,1,2,4,2,2,4,3,3,1,1,4
915,2025-07-16 20:12:31,2000,2m,0,3,3,1,3,4,3,4,5,1,3,2,3,3,2,2
1032,2025-07-16 21:09:12,2200,2m,0,3,3,4,3,4,3,4,2,1,3,2,3,3,2,2
1142,2025-07-16 09:34:19,2600,2m,0,3,3,2,3,5,3,4,2,1,3,2,3,3,2,2
437,2025-07-16 07:49:30,2200,2m,0,3,2,2,3,1,3,4,1,1,3,2,3,3,2,2
1579,2025-07-16 21:50:39,2800,2m,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
708,2025-07-16 10:55:40,2200,2m,0,3,4,5,3,1,3,4,2,1,3,2,3,3,2,2
297,2025-07-16 22:24:52,2400,2m,0,3,2,2,3,3,3,4,2,1,3,2,3,3,2,2
1185,2025-07-16 16:36:24,2800,2m,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1710,2025-07-16 21:28:52,2400,2m,0,3,1,2,3,3,3,4,2,1,3,2,3,3,2,2
587,2025-07-16 16:36:29,2800,2m,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
26,2025-07-16 14:48:21,2600,2n,0,3,5,2,3,5,1,4,2,1,3,2,3,3,2,2
1520,2025-07-16 10:50:42,2600,2n,0,3,5,2,3,5,3,1,2,1,3,2,3,3,2,2
914,2025-07-16 13:45:35,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1694,2025-07-18 08:02:08,2600,2n,0,3,5,2,3,5,3,5,2,1,3,2,3,3,2,2
1039,2025-07-16 19:10:36,2400,2n,0,3,5,2,4,5,3,5,2,1,3,2,3,3,2,3
169,2025-07-16 13:56:05,2600,2n,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
66,2025-07-16 23:47:32,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
844,2025-07-16 10:34:32,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
866,2025-07-16 20:52:04,2200,2n,0,3,2,4,3,3,3,4,2,1,3,2,3,3,2,2
1454,2025-07-16 09:03:47,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
215,2025-07-16 14:58:46,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
426,2025-07-16 14:55:57,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1565,2025-07-16 21:34:35,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
949,2025-07-16 21:17:56,2600,2n,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
816,2025-07-16 14:57:45,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
747,2025-07-17 14:27:34,2200,2n,0,3,1,2,3,1,3,4,1,1,3,2,3,3,2,2
159,2025-07-16 14:58:40,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
100,2025-07-16 21:18:23,2600,2n,0,3,5,2,3,2,3,4,2,1,3,2,3,3,2,2
