estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9
1547,2025-07-18 21:40:26,2500,2d,1,4,1,2,4,1,2,3,1,3,4
1584,2025-07-18 22:24:26,2500,2d,1,4,1,2,4,1,5,3,1,3,4
1237,2025-07-18 18:15:17,2500,2d,1,4,1,2,2,1,1,3,1,3,4
580,2025-07-18 09:02:03,2700,2d,1,4,1,2,2,1,3,3,1,3,4
687,2025-07-18 23:20:00,700,2d,1,4,3,3,3,3,2,3,3,1,2
963,2025-07-18 17:13:44,2400,2d,1,4,5,2,4,5,1,3,4,3,4
622,2025-07-18 21:51:03,900,2d,1,3,2,3,4,1,1,1,1,2,2
181,2025-07-18 21:16:51,2100,2d,1,4,5,3,3,1,2,3,1,3,4
214,2025-07-18 19:56:18,700,2d,1,2,1,1,4,2,2,3,4,1,2
1597,2025-07-18 08:29:41,2600,2d,1,4,1,2,4,1,5,3,4,3,4
463,2025-07-18 22:36:49,2400,2d,1,4,1,2,4,1,1,3,1,4,4
91,2025-07-18 20:15:44,2400,2d,1,4,1,2,2,1,2,3,1,4,4
1511,2025-07-18 16:51:46,1700,2d,1,3,1,3,4,1,3,4,4,1,5
1082,2025-07-18 17:39:37,2700,2d,1,4,5,2,2,1,1,3,4,3,4
1545,2025-07-18 22:36:46,2500,2d,1,4,1,2,4,1,1,3,1,4,4
1221,2025-07-18 18:59:25,2200,2d,1,4,2,1,4,1,5,3,4,3,1
1253,2025-07-18 20:37:45,2200,2d,1,4,1,2,3,5,5,3,1,1,4
444,2025-07-18 15:29:18,1000,2d,1,4,2,2,4,2,1,2,5,4,4
128,2025-07-18 19:57:00,2800,2d,1,4,1,2,2,1,1,3,1,3,4
1465,2025-07-18 23:32:39,2400,2d,1,4,1,2,2,1,1,3,4,3,4
235,2025-07-18 17:55:29,2500,2d,1,4,1,2,4,1,2,3,1,3,4
1273,2025-07-18 18:27:15,2500,2d,1,4,1,2,4,1,2,3,1,3,4
1267,2025-07-18 15:20:08,2200,2d,1,4,5,3,3,1,2,3,1,3,4
1535,2025-07-18 21:30:34,2500,2d,1,4,1,2,4,1,2,3,1,3,4
620,2025-07-18 18:03:47,2300,2d,1,4,3,3,2,1,2,3,1,3,4
1108,2025-07-18 17:30:01,2400,2d,1,4,3,2,2,1,3,3,1,3,4
1117,2025-07-18 18:05:54,2100,2d,1,4,1,2,4,1,4,3,1,3,3
83,2025-07-18 20:07:44,2100,2e,1,4,1,4,2,4,2,3,1,3,3
1028,2025-07-18 09:31:15,750,2e,1,4,2,2,4,1,2,4,4,3,5
152,2025-07-18 16:53:13,2400,2e,1,4,2,2,2,1,1,3,4,3,4
1654,2025-07-18 19:18:25,1950,2e,1,3,2,3,3,1,3,3,1,3,4
507,2025-07-18 21:08:22,2100,2e,1,4,1,1,4,1,2,3,1,3,3
870,2025-07-18 17:39:06,2400,2e,1,4,1,4,4,1,3,3,1,3,4
833,2025-07-18 18:02:49,2250,2e,1,4,1,1,3,1,1,3,4,3,4
58,2025-07-18 14:18:06,2250,2e,1,4,1,2,4,1,1,3,4,3,3
18,2025-07-18 23:00:49,2400,2e,1,4,1,2,4,1,1,3,1,1,4
2,2025-07-18 15:25:25,2550,2e,1,4,1,2,4,1,1,3,1,3,4
552,2025-07-18 20:21:15,1950,2e,1,4,2,4,4,1,3,3,1,1,4
1358,2025-07-18 20:44:25,2100,2e,1,4,5,2,4,3,1,3,1,3,4
1099,2025-07-18 19:05:10,1050,2e,1,4,3,2,4,1,2,3,3,3,3
419,2025-07-18 08:18:04,2400,2e,1,4,5,2,4,1,1,3,1,3,4
897,2025-07-18 22:16:22,2250,2e,1,4,1,4,4,1,3,4,1,3,4
1309,2025-07-18 10:29:38,2550,2e,1,4,1,2,4,1,1,3,1,3,4
739,2025-07-18 21:08:26,2250,2e,1,4,1,1,4,1,2,3,1,3,3
129,2025-07-18 15:11:41,2100,2e,1,4,1,2,4,1,2,3,4,3,4
522,2025-07-19 07:08:54,2250,2e,1,4,1,3,4,1,5,3,1,3,4
1420,2025-07-18 19:26:21,1950,2e,1,4,1,3,4,1,2,3,4,3,3
1138,2025-07-18 09:00:15,750,2e,1,1,1,3,1,1,4,3,1,5,1
564,2025-07-18 20:54:39,2250,2e,1,4,5,2,3,1,2,3,1,3,4
1058,2025-07-18 08:14:28,2250,2e,1,4,1,2,4,1,1,3,4,1,4
462,2025-07-18 14:32:21,2400,2e,1,4,1,2,4,1,1,3,1,3,4
1474,2025-07-18 15:59:29,2100,2e,1,4,2,2,4,1,3,3,1,3,4
1169,2025-07-18 20:32:41,2100,2e,1,4,1,2,4,1,5,3,1,3,4
148,2025-07-18 21:08:25,2250,2e,1,4,1,1,4,1,2,3,1,3,3
597,2025-07-18 19:48:07,2250,2e,1,4,1,5,3,1,2,3,1,3,4
1688,2025-07-18 20:47:37,2250,2e,1,4,1,2,4,1,2,3,4,3,4
1450,2025-07-18 21:36:47,900,2e,1,3,2,1,4,1,4,3,4,3,3
1297,2025-07-18 14:41:16,2400,2e,1,4,1,2,4,1,1,3,4,3,4
791,2025-07-18 10:58:48,2400,2e,1,4,1,3,4,1,1,3,4,3,4
1254,2025-07-18 08:18:04,2250,2e,1,4,5,2,4,1,1,3,1,3,4
1659,2025-07-18 18:39:56,1350,2e,1,4,5,4,3,1,3,3,2,4,3
1195,2025-07-18 11:06:47,2400,2f,1,4,1,2,4,1,5,3,1,3,4
1282,2025-07-18 14:51:11,2250,2f,1,4,1,2,4,1,1,3,4,3,4
606,2025-07-18 22:18:38,2400,2f,1,4,1,1,3,1,1,3,1,1,4
380,2025-07-18 08:45:47,2100,2f,1,4,1,2,3,1,3,3,4,3,4
339,2025-07-18 22:23:27,2250,2f,1,4,1,2,2,1,4,3,4,3,4
1437,2025-07-18 12:12:22,2250,2f,1,4,5,1,4,1,1,3,1,3,4
616,2025-07-18 15:48:33,750,2f,1,2,4,3,3,2,3,1,5,3,2
86,2025-07-18 19:26:53,2400,2f,1,4,1,2,4,1,1,3,1,3,4
716,2025-07-18 21:45:57,2250,2f,1,4,5,4,4,1,2,3,3,3,4
1296,2025-07-18 11:06:44,2400,2f,1,4,1,2,4,1,5,3,1,3,4
1306,2025-07-18 22:02:54,2250,2f,1,4,1,2,4,1,1,3,4,3,4
183,2025-07-18 16:16:21,2250,2f,1,4,1,2,4,1,2,3,3,3,4
539,2025-07-18 22:18:21,2400,2f,1,4,1,2,4,1,1,3,4,3,4
261,2025-07-18 16:11:34,2100,2f,1,4,1,2,4,1,2,3,1,3,3
1061,2025-07-18 15:17:09,1200,2f,1,3,3,5,4,1,3,4,1,5,4
554,2025-07-18 15:14:43,2400,2f,1,4,1,5,3,1,1,3,1,3,4
800,2025-07-18 08:21:25,1950,2f,1,4,1,5,4,1,2,3,3,3,3
1563,2025-07-18 12:12:23,2250,2f,1,4,5,1,4,1,1,3,1,3,4
686,2025-07-18 19:33:22,2400,2f,1,4,1,5,4,1,5,3,1,3,4
1034,2025-07-18 15:55:51,1800,2f,1,4,1,2,3,1,2,3,4,1,3
877,2025-07-18 08:08:02,2250,2f,1,4,5,2,4,1,2,3,1,3,4
1515,2025-07-18 20:46:31,2250,2f,1,4,1,2,4,1,5,3,1,3,4
1537,2025-07-18 15:33:59,2250,2f,1,4,1,2,4,1,2,3,1,3,3
126,2025-07-18 16:57:28,2700,2f,1,4,1,2,2,1,1,3,1,3,4
958,2025-07-18 19:05:18,2250,2f,1,4,1,2,4,1,5,3,1,3,4
729,2025-07-18 10:00:18,750,2f,1,2,2,4,5,2,3,5,4,3,4
1637,2025-07-18 19:20:38,2100,2f,1,4,4,2,4,1,1,3,1,2,4
70,2025-07-18 22:23:32,1350,2f,1,2,4,1,2,1,1,4,3,3,4
1484,2025-07-18 10:41:54,2400,2f,1,4,1,2,4,1,5,3,1,3,4
646,2025-07-18 22:30:19,2100,2f,1,4,2,3,4,1,5,3,4,3,4
1728,2025-07-18 22:08:02,2550,2f,1,4,1,2,4,1,1,3,1,3,4
1478,2025-07-18 10:12:34,1500,2f,1,4,1,1,2,1,4,3,1,3,3
416,2025-07-18 10:56:36,2400,2f,1,4,1,2,4,1,5,3,1,3,4
349,2025-07-18 18:47:43,2250,2f,1,4,1,2,4,1,5,3,4,3,4
62,2025-07-18 23:41:08,2400,2f,1,4,1,2,4,1,1,3,1,3,4
849,2025-07-18 18:28:52,2250,2f,1,4,1,2,4,1,1,3,2,3,1
268,2025-07-18 22:22:33,2100,2f,1,4,1,1,4,3,2,3,1,3,4
1506,2025-07-18 20:23:32,1350,2g,1,4,2,3,4,1,3,3,3,1,4
1243,2025-07-18 22:40:47,450,2g,1,2,4,2,5,4,1,4,3,1,3
992,2025-07-18 17:08:14,2100,2g,1,4,1,2,2,1,3,3,1,3,4
168,2025-07-18 16:47:40,900,2g,1,4,5,2,1,5,3,2,2,1,2
46,2025-07-18 18:38:07,2100,2g,1,4,1,1,3,1,2,3,1,1,4
814,2025-07-18 18:04:44,2550,2g,1,4,1,4,3,1,1,3,4,3,4
359,2025-07-18 11:36:45,2400,2g,1,4,1,2,4,1,1,3,1,3,4
940,2025-07-18 14:10:21,2400,2g,1,4,1,2,4,1,5,3,1,3,4
309,2025-07-18 21:14:47,2400,2g,1,4,1,2,4,1,3,3,1,3,4
846,2025-07-18 21:06:07,2400,2g,1,5,1,3,3,1,1,3,1,3,4
35,2025-07-18 12:14:43,2100,2g,1,4,1,2,4,1,2,3,4,3,4
754,2025-07-18 20:16:56,2250,2g,1,4,1,2,4,1,2,3,1,5,4
939,2025-07-18 10:04:41,2100,2g,1,4,4,2,4,1,1,3,4,3,4
1404,2025-07-18 18:27:06,2550,2g,1,4,1,4,3,1,1,3,4,3,4
340,2025-07-18 22:37:23,2100,2g,1,4,1,2,2,1,5,3,4,3,1
1521,2025-07-18 10:44:36,2400,2g,1,4,1,2,4,1,1,3,1,3,4
124,2025-07-18 15:41:23,2250,2g,1,4,1,2,2,1,3,3,4,3,1
461,2025-07-18 16:38:03,2250,2g,1,4,1,3,2,1,1,3,1,3,1
1672,2025-07-18 18:20:03,2100,2g,1,4,1,2,4,1,2,3,4,3,4
336,2025-07-18 15:37:43,2250,2g,1,4,1,2,2,1,3,3,4,3,1
90,2025-07-18 18:56:58,2400,2g,1,4,1,4,4,1,3,3,1,3,4
609,2025-07-18 17:09:30,2100,2g,1,4,1,2,3,1,1,3,1,1,4
1101,2025-07-18 16:37:37,2250,2g,1,4,1,2,3,1,2,3,4,3,4
1483,2025-07-18 20:00:29,2400,2g,1,4,5,2,4,1,1,3,1,3,4
1583,2025-07-18 19:57:41,2100,2g,1,2,2,2,5,1,5,3,1,3,4
869,2025-07-18 16:55:24,1950,2g,1,4,5,2,4,1,2,3,4,3,4
486,2025-07-18 19:01:14,2250,2g,1,4,1,2,4,1,1,3,1,3,4
508,2025-07-18 18:04:44,2550,2g,1,4,1,4,3,1,1,3,4,3,4
160,2025-07-18 10:00:17,2400,2g,1,4,1,2,4,1,1,3,1,3,4
247,2025-07-18 10:44:36,2400,2g,1,4,1,2,4,1,1,3,1,3,4
1640,2025-07-18 22:58:14,1950,2g,1,4,1,3,4,4,2,3,1,1,4
81,2025-07-18 17:48:01,2250,2g,1,4,1,4,5,1,5,3,5,3,4
1648,2025-07-18 19:55:28,2250,2g,1,4,1,2,4,1,5,3,1,1,4
1129,2025-07-18 20:51:04,2100,2g,1,4,5,2,4,1,2,3,4,3,4
853,2025-07-18 12:08:53,2250,2g,1,4,5,2,5,1,2,3,1,3,4
1667,2025-07-18 16:07:56,2250,2h,1,4,1,2,4,3,2,3,1,3,4
366,2025-07-18 14:49:28,2250,2h,1,4,3,2,4,1,1,3,4,3,4
354,2025-07-18 22:03:17,2550,2h,1,4,1,2,4,1,1,3,1,3,4
1102,2025-07-18 17:24:06,1200,2h,1,4,1,3,3,1,1,2,3,3,5
1567,2025-07-19 07:27:43,2100,2h,1,4,1,2,5,1,5,3,1,3,4
1003,2025-07-19 10:28:19,1650,2h,1,4,1,5,5,5,3,3,1,3,4
734,2025-07-18 15:39:04,1950,2h,1,4,1,2,2,1,5,3,3,3,2
208,2025-07-18 23:51:28,2400,2h,1,4,1,2,4,1,1,3,1,3,4
1057,2025-07-18 22:06:32,1650,2h,1,4,1,2,3,1,2,3,4,4,4
1435,2025-07-18 20:08:52,2250,2h,1,4,1,2,4,1,4,3,4,3,4
923,2025-07-18 20:26:45,2250,2h,1,4,1,2,4,1,5,3,1,3,4
1576,2025-07-18 14:50:05,1500,2h,1,4,1,2,4,2,3,3,4,1,4
776,2025-07-18 22:30:03,2250,2h,1,4,1,2,4,1,1,3,4,3,4
1303,2025-07-18 09:02:52,2100,2h,1,5,1,2,4,1,4,3,4,3,4
391,2025-07-18 19:12:12,1950,2h,1,4,4,2,5,1,3,3,1,3,4
843,2025-07-18 22:20:24,2250,2h,1,4,1,2,4,1,5,3,5,3,4
1128,2025-07-18 08:50:26,1950,2h,1,4,1,2,4,1,4,3,4,2,4
409,2025-07-18 08:56:26,2250,2h,1,4,1,2,4,1,4,3,4,3,4
641,2025-07-18 15:01:07,2250,2h,1,4,1,4,4,1,1,3,3,3,4
351,2025-07-18 12:10:44,2250,2h,1,4,5,4,2,1,3,3,4,3,4
1388,2025-07-18 14:40:23,2250,2h,1,4,1,2,2,1,5,3,5,3,4
945,2025-07-18 22:09:17,2400,2h,1,4,1,2,4,1,1,3,1,3,4
511,2025-07-18 13:26:03,2100,2h,1,4,1,5,5,1,1,3,4,1,3
872,2025-07-18 23:09:28,2400,2h,1,4,1,2,4,1,1,3,1,3,4
826,2025-07-18 17:13:19,2400,2h,1,4,1,2,4,1,1,3,1,1,4
541,2025-07-18 23:48:17,2100,2h,1,4,5,2,4,1,5,3,4,3,4
566,2025-07-18 21:47:10,2250,2h,1,4,1,2,4,1,1,3,1,3,4
255,2025-07-18 22:42:06,2100,2h,1,4,2,2,4,1,2,3,1,5,4
165,2025-07-18 22:58:13,2400,2h,1,4,1,2,4,1,1,3,1,3,4
1044,2025-07-18 22:21:38,2550,2h,1,4,1,2,4,1,1,3,1,3,4
679,2025-07-18 10:16:08,2100,2h,1,4,5,2,4,1,2,3,1,3,4
582,2025-07-18 23:41:02,2250,2s,1,4,1,4,2,1,3,3,1,3,4
1711,2025-07-18 18:49:48,2700,2h,1,4,1,2,2,1,1,3,1,3,4
1676,2025-07-18 17:49:18,1650,2h,1,4,1,4,3,5,5,3,3,3,4
